Elected,Office Address,Number,Street,City,State,Zip,Office Email/Phone,Staff Name,Staff Email/Phone,,Committee Chaired
NYC Council - Linda Lee,"73-03 Bell Boulevard, Oakland Gardens, NY 11364",73,Bell Boulevard,Oakland Gardens,NY,11364,district23@council.nyc.gov,Amanda Vazquez,amvazquez@council.nyc.gov,,
NYC Council - Carlina Rivera,"254 East 4th Street, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10009",254,East 4th Street,New York,NY,10009,District2@council.nyc.gov,Edward Amador,eamador@council.nyc.gov,,
NYC Council - Amanda Farías,"778 Castle Hill Avenue, Bronx, NY 10473",778,Castle Hill Avenue,Bronx,NY,10473,district18@council.nyc.gov,Randi Malman,rmalman@council.nyc.gov,,
NYC Council - Christopher Marte,"65 East Broadway, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10002",65,East Broadway,New York,NY,10002,District1@council.nyc.gov,Caitlin Kelmar,ckelmar@council.nyc.gov,,
NYC Council - Shaun Abreu,"712 West 125th Street, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10027",712,West 125th Street,New York,NY,10027,district7@council.nyc.gov,Milo Gringlas,mgringlas@council.nyc.gov,,
NYC Council - Rafael Salamanca Jr.,"970 Longwood Avenue, Bronx, NY 10459",970,Longwood Avenue,Bronx,NY,10459,district17@council.nyc.gov,Saranya Jagadish,sjagadish@council.nyc.gov,,
NYC Council - Vickie Paladino,"19-31 Francis Lewis Blvd, Whitestone, NY 11357",19,Francis Lewis Blvd,Whitestone,NY,11357,District19@council.nyc.gov,Allie Ziraschi,aziraschi@council.nyc.gov,,
NYC Council - Tiffany Cabán,"22-45 31st Street, Astoria, NY 11105",22,31st Street,Astoria,NY,11105,district22@council.nyc.gov,Celia Castellan,ccastellan@council.nyc.gov,,
NYC Council - Julie Won,"47-01 Queens Blvd, Sunnyside, NY 11104",47,Queens Blvd,Sunnyside,NY,11104,district26@council.nyc.gov,Nick Gulotta,ngulotta@council.nyc.gov,,
NYC Council - Lincoln Restler,"410 Atlantic Avenue, Brooklyn, NY 11217",410,Atlantic Avenue,Brooklyn,NY,11217,District33@council.nyc.gov,Molly Haley,mhaley@council.nyc.gov,,
NYC Council - Yusef Salaam,"163 Lenox Avenue, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10026",163,Lenox Avenue,New York,NY,10026,district9@council.nyc.gov,,,,
NYC Council - Carmen De La Rosa,"618 W. 177th Street, Ground Floor, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10033",618,W. 177th Street,New York,NY,10033,district10@council.nyc.gov,James Burke,jburke@council.nyc.gov,,
NYC Council - Pierina Ana Sanchez,"2065 Morris Avenue, Bronx, NY 10453",2065,Morris Avenue,Bronx,NY,10453,district14@council.nyc.gov,,,,
NYC Council - James F. Gennaro,"180-32 Union Turnpike, Fresh Meadows, NY 11366",180-32,Union Turnpike,Fresh Meadows,NY,11366,district24@council.nyc.gov,Henry Yam,hyam@council.nyc.gov,,
NYC Council - Shekar Krishnan,"37-32 75th Street, 1st Floor, Jackson Heights, NY 11372",37-32,75th Street,Jackson Heights,NY,11372,district25@council.nyc.gov,Chuck Park,cpark@council.nyc.gov,,
NYC Council - Nantasha Williams,"172-12 Linden Blvd, St. Albans, NY 11434",172-12,Linden Blvd,St. Albans,NY,11434,District27@council.nyc.gov,Amir Abbady,aabbady@council.nyc.gov,,
NYC Council - Adrienne E. Adams,"165-90 Baisley Blvd, Jamaica, NY 11434",165-90,Baisley Blvd,Jamaica,NY,11434,SpeakerAdams@council.nyc.gov,Tyrell Hankerson,thankerson@council.nyc.gov,,
NYC Council - Lynn Schulman,"118-35 Queens Blvd, Forest Hills, NY 11375",118-35,Queens Blvd,Forest Hills,NY,11375,district29@council.nyc.gov,Jonathan Boucher,jboucher@council.nyc.gov,,
NYC Council - Robert F. Holden,"64-69 Dry Harbor Road, Middle Village, NY 11379",64-69,Dry Harbor Road,Middle Village,NY,11379,district30@council.nyc.gov,Daniel Kurzyna,dkurzyna@council.nyc.gov,,
NYC Council - Selvena N. Brooks-Powers,"1931 Mott Avenue, Far Rockaway, NY 11691",1931,Mott Avenue,Far Rockaway,NY,11691,district31@council.nyc.gov,,,,
NYC Council - Joann Ariola,"114-12 Beach Channel Drive, Rockaway Park, NY 11694",114-12,Beach Channel Drive,Rockaway Park,NY,11694,District32@council.nyc.gov,Phyllis Inserillo,pinserillo@council.nyc.gov,,
NYC Council - Crystal Hudson,"55 Hanson Place, Ground Floor, Brooklyn, NY 11217",55,Hanson Place,Brooklyn,NY,11217,district35@council.nyc.gov,Casie Addison,caddison@council.nyc.gov,,
NYC Council - Chi Osse,"1360 Fulton Street, Suite 500, Brooklyn, NY 11216",1360,Fulton Street,Brooklyn,NY,11216,district36@council.nyc.gov,Naomi Hopkins,nhopkins@council.nyc.gov,,
