influenced_elected,projects_worked_on,issues_worked_on,location,name_of_org,phone,email,contact_name,additional_email,influence_score
Diana Ayala,,Housing,The Bronx,Bronx United,,,,,
Diana Ayala,,Housing,Mott Haven,Diego Beekman Housing Complex,,,,,
Erik Bottcher,,Housing,Brooklyn,El Puente,,info@elpuente.org ,,,
Crystal Hudson,,Housing,Brooklyn,IMPACCT Brooklyn,(718) 522-2613,advancement@impacctbk.org,,,
Crystal Hudson,,Housing,Brooklyn,CUFFH,,,,,
Chi Osse,,Housing,Brooklyn,IMPACCT Brooklyn,(718) 522-2613,advancement@impacctbk.org,,,
Chi Osse,,Housing,Brooklyn,CUFFH,,,,,
,Tenants not Tourists,Housing,Manhattan,32BJ,,,,,
,Tenants not Tourists,Housing,,AARP,,,,,
,Tenants not Tourists,Housing,Long Island City,ACE Programs for the Homeless,,,,,
,Tenants not Tourists,Housing,Brooklyn,After Hours Project,(718) 249-0755,,,,
,Tenants not Tourists,Housing,Queens,AIDS Center of Queens County (ACQC),(718) 896-2500,,,,
,Tenants not Tourists,Housing,Queens,Arab-American Support Center,718 - 643 - 8000,info@aafscny.org,,,
,Tenants not Tourists,Housing,Queens,Arab-American Support Center,718 - 643 - 8000,info@aafscny.org,,,
,Tenants not Tourists,Housing,The Bronx,Arab-American Support Center,718 - 643 - 8000,info@aafscny.org,,,
,Tenants not Tourists,Housing,Brooklyn,Arab-American Support Center,718 - 643 - 8000,info@aafscny.org,,,
,Tenants not Tourists,Housing,Manhattan,Asian American Federation,(212) 344-5878,info@aafederation.org,,,
,Tenants not Tourists,Housing,Astoria,Astoria Mutual Aid Group,,astoriafoodpantry@gmail.com,,,
,Tenants not Tourists,"Housing, Tenants, Tenants Rights",Astoria,Astoria Tenants Union,,astoriatenantsunionx@gmail.com,,,
Justin Brannan,Tenants not Tourists,"Housing, Tenants, Tenants Rights",Bayridge,Bayridge Democratic Club,,,,,
,Tenants not Tourists,"Housing, Tenants, Tenants Rights",,Bedford Stuyvesant Restoration Corporation,,,,,
,Tenants not Tourists,"Housing, Tenants, Tenants Rights",Bedford Stuyvesant,BedStuy Works Alliance of Block and Tenant Associations,,,,,
,Tenants not Tourists,Housing,Brooklyn,BFC Partners,(718) 422-9999,info@bfcnyc.com,,,
,Tenants not Tourists,Housing,"Manhattan, Queens, Brooklyn",Breaking Ground,212-389-9300,info@breakingground.org,,,
,Tenants not Tourists,"Housing, homelessness, health advocacy","Brooklyn, Brighton Beach",Brighton Neighborhood Association,(718) 891-0800,bnapsinger@aol.com,Pat Singer,,
,Tenants not Tourists,Housing,Brooklyn,Brooklyn Community Housing Services,(718) 625-4545,info@bchands.org,,,
,Tenants not Tourists,"Homeless, housing, refugees","Brooklyn, Brooklyn Heights",Brooklyn Heights Synagouge,718-522-2070,office@bhsbrooklyn.org,,,
,Tenants not Tourists,"Housing, economic development","Brooklyn, Flatlands, Flatbush, East Flatbush",Brooklyn Level Up,,,,,
